kategori,gender,usia,plan,premi
konv_inap,PRIA,0,Diamond,47658100
konv_inap,PRIA,0,Ruby,32451400
konv_inap,PRIA,0,Emerald,18274400
konv_inap,PRIA,0,Topaz,13435500
konv_inap,PRIA,0,Topaz ID,10466200
konv_inap,PRIA,0,Jade,10335000
konv_inap,PRIA,0,Jade ID,8140600
konv_inap,PRIA,0,Sapphire,6366300
konv_inap,PRIA,0,Diamond Smart,28594900
konv_inap,PRIA,0,Ruby Smart,19470800
konv_inap,PRIA,0,Emerald Smart,10964600
konv_inap,PRIA,0,Topaz Smart,8061300
konv_inap,PRIA,0,Topaz ID Smart,6803000
konv_inap,PRIA,0,Jade Smart,6201000
konv_inap,PRIA,0,Jade ID Smart,5291400
konv_inap,PRIA,1,Diamond,46755600
konv_inap,PRIA,1,Ruby,31579600
konv_inap,PRIA,1,Emerald,17431700
konv_inap,PRIA,1,Topaz,12409800
konv_inap,PRIA,1,Topaz ID,9667100
konv_inap,PRIA,1,Jade,9546000
konv_inap,PRIA,1,Jade ID,7519100
konv_inap,PRIA,1,Sapphire,5880300
konv_inap,PRIA,1,Diamond Smart,28053400
konv_inap,PRIA,1,Ruby Smart,18947800
konv_inap,PRIA,1,Emerald Smart,10459000
konv_inap,PRIA,1,Topaz Smart,7445900
konv_inap,PRIA,1,Topaz ID Smart,6283600
konv_inap,PRIA,1,Jade Smart,5727600
konv_inap,PRIA,1,Jade ID Smart,4887400
konv_inap,PRIA,2,Diamond,46739200
konv_inap,PRIA,2,Ruby,31563300
konv_inap,PRIA,2,Emerald,17416300
konv_inap,PRIA,2,Topaz,12391100
konv_inap,PRIA,2,Topaz ID,9652500
konv_inap,PRIA,2,Jade,9531600
konv_inap,PRIA,2,Jade ID,7507800
konv_inap,PRIA,2,Sapphire,5871500
konv_inap,PRIA,2,Diamond Smart,28043500
konv_inap,PRIA,2,Ruby Smart,18938000
konv_inap,PRIA,2,Emerald Smart,10449800
konv_inap,PRIA,2,Topaz Smart,7434700
konv_inap,PRIA,2,Topaz ID Smart,6274100
konv_inap,PRIA,2,Jade Smart,5719000
konv_inap,PRIA,2,Jade ID Smart,4880100
konv_inap,PRIA,3,Diamond,37646000
konv_inap,PRIA,3,Ruby,25444200
konv_inap,PRIA,3,Emerald,14069300
konv_inap,PRIA,3,Topaz,10057200
konv_inap,PRIA,3,Topaz ID,7834400
konv_inap,PRIA,3,Jade,7736200
konv_inap,PRIA,3,Jade ID,6093600
konv_inap,PRIA,3,Sapphire,4765500
konv_inap,PRIA,3,Diamond Smart,22587600
konv_inap,PRIA,3,Ruby Smart,15266500
konv_inap,PRIA,3,Emerald Smart,8441600
konv_inap,PRIA,3,Topaz Smart,6034300
konv_inap,PRIA,3,Topaz ID Smart,5092400
konv_inap,PRIA,3,Jade Smart,4641700
konv_inap,PRIA,3,Jade ID Smart,3960800
konv_inap,PRIA,4,Diamond,37636100
konv_inap,PRIA,4,Ruby,25434300
konv_inap,PRIA,4,Emerald,14059700
konv_inap,PRIA,4,Topaz,10049200
konv_inap,PRIA,4,Topaz ID,7828200
konv_inap,PRIA,4,Jade,7730200
konv_inap,PRIA,4,Jade ID,6088800
konv_inap,PRIA,4,Sapphire,4761700
konv_inap,PRIA,4,Diamond Smart,22581700
konv_inap,PRIA,4,Ruby Smart,15260600
konv_inap,PRIA,4,Emerald Smart,8435800
konv_inap,PRIA,4,Topaz Smart,6029500
konv_inap,PRIA,4,Topaz ID Smart,5088300
konv_inap,PRIA,4,Jade Smart,4638100
konv_inap,PRIA,4,Jade ID Smart,3957700
konv_inap,PRIA,5,Diamond,37629400
konv_inap,PRIA,5,Ruby,25430900
konv_inap,PRIA,5,Emerald,14056600
konv_inap,PRIA,5,Topaz,10041400
konv_inap,PRIA,5,Topaz ID,7840300
konv_inap,PRIA,5,Jade,7724200
konv_inap,PRIA,5,Jade ID,6087800
konv_inap,PRIA,5,Sapphire,4758000
konv_inap,PRIA,5,Diamond Smart,22577600
konv_inap,PRIA,5,Ruby Smart,15258500
konv_inap,PRIA,5,Emerald Smart,8434000
konv_inap,PRIA,5,Topaz Smart,6024800
konv_inap,PRIA,5,Topaz ID Smart,5096200
konv_inap,PRIA,5,Jade Smart,4634500
konv_inap,PRIA,5,Jade ID Smart,3957100
konv_inap,PRIA,6,Diamond,37759100
konv_inap,PRIA,6,Ruby,25517600
konv_inap,PRIA,6,Emerald,14099200
konv_inap,PRIA,6,Topaz,10071800
konv_inap,PRIA,6,Topaz ID,7894100
konv_inap,PRIA,6,Jade,7747600
konv_inap,PRIA,6,Jade ID,6106400
konv_inap,PRIA,6,Sapphire,4772500
konv_inap,PRIA,6,Diamond Smart,22655500
konv_inap,PRIA,6,Ruby Smart,15310600
konv_inap,PRIA,6,Emerald Smart,8459500
konv_inap,PRIA,6,Topaz Smart,6043100
konv_inap,PRIA,6,Topaz ID Smart,5131200
konv_inap,PRIA,6,Jade Smart,4648600
konv_inap,PRIA,6,Jade ID Smart,3969200
konv_inap,PRIA,7,Diamond,37764700
konv_inap,PRIA,7,Ruby,25521800
konv_inap,PRIA,7,Emerald,14103200
konv_inap,PRIA,7,Topaz,10073800
konv_inap,PRIA,7,Topaz ID,7899800
konv_inap,PRIA,7,Jade,7749500
konv_inap,PRIA,7,Jade ID,6111600
konv_inap,PRIA,7,Sapphire,4773700
konv_inap,PRIA,7,Diamond Smart,22658800
konv_inap,PRIA,7,Ruby Smart,15313100
konv_inap,PRIA,7,Emerald Smart,8461900
konv_inap,PRIA,7,Topaz Smart,6044300
konv_inap,PRIA,7,Topaz ID Smart,5134900
konv_inap,PRIA,7,Jade Smart,4649700
konv_inap,PRIA,7,Jade ID Smart,3972500
konv_inap,PRIA,8,Diamond,37770300
konv_inap,PRIA,8,Ruby,25525900
konv_inap,PRIA,8,Emerald,14107100
konv_inap,PRIA,8,Topaz,10075700
konv_inap,PRIA,8,Topaz ID,7905500
konv_inap,PRIA,8,Jade,7751300
konv_inap,PRIA,8,Jade ID,6115200
konv_inap,PRIA,8,Sapphire,4774800
konv_inap,PRIA,8,Diamond Smart,22662200
konv_inap,PRIA,8,Ruby Smart,15315500
konv_inap,PRIA,8,Emerald Smart,8464300
konv_inap,PRIA,8,Topaz Smart,6045400
konv_inap,PRIA,8,Topaz ID Smart,5138600
konv_inap,PRIA,8,Jade Smart,4650800
konv_inap,PRIA,8,Jade ID Smart,3974900
konv_inap,PRIA,9,Diamond,37775900
konv_inap,PRIA,9,Ruby,25530100
konv_inap,PRIA,9,Emerald,14111100
konv_inap,PRIA,9,Topaz,10077800
konv_inap,PRIA,9,Topaz ID,7911100
konv_inap,PRIA,9,Jade,7753200
konv_inap,PRIA,9,Jade ID,6118800
konv_inap,PRIA,9,Sapphire,4775900
konv_inap,PRIA,9,Diamond Smart,22665500
konv_inap,PRIA,9,Ruby Smart,15318100
konv_inap,PRIA,9,Emerald Smart,8466700
konv_inap,PRIA,9,Topaz Smart,6046700
konv_inap,PRIA,9,Topaz ID Smart,5142200
konv_inap,PRIA,9,Jade Smart,4651900
konv_inap,PRIA,9,Jade ID Smart,3977200
konv_inap,PRIA,10,Diamond,37781500
konv_inap,PRIA,10,Ruby,25534200
konv_inap,PRIA,10,Emerald,14115000
konv_inap,PRIA,10,Topaz,10079800
konv_inap,PRIA,10,Topaz ID,7916800
konv_inap,PRIA,10,Jade,7755100
konv_inap,PRIA,10,Jade ID,6122400
konv_inap,PRIA,10,Sapphire,4777100
konv_inap,PRIA,10,Diamond Smart,22668900
konv_inap,PRIA,10,Ruby Smart,15320500
konv_inap,PRIA,10,Emerald Smart,8469000
konv_inap,PRIA,10,Topaz Smart,6047900
konv_inap,PRIA,10,Topaz ID Smart,5145900
konv_inap,PRIA,10,Jade Smart,4653100
konv_inap,PRIA,10,Jade ID Smart,3979600
konv_inap,PRIA,11,Diamond,37788800
konv_inap,PRIA,11,Ruby,25540000
konv_inap,PRIA,11,Emerald,14119100
konv_inap,PRIA,11,Topaz,10082700
konv_inap,PRIA,11,Topaz ID,7934600
konv_inap,PRIA,11,Jade,7757000
konv_inap,PRIA,11,Jade ID,6133200
konv_inap,PRIA,11,Sapphire,4778300
konv_inap,PRIA,11,Diamond Smart,22673300
konv_inap,PRIA,11,Ruby Smart,15324000
konv_inap,PRIA,11,Emerald Smart,8471500
konv_inap,PRIA,11,Topaz Smart,6049600
konv_inap,PRIA,11,Topaz ID Smart,5157500
konv_inap,PRIA,11,Jade Smart,4654200
konv_inap,PRIA,11,Jade ID Smart,3986600
