# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

Premi MiUltimate HealthCare 2024,,,,,,,
Menu Utama,,,,,,,
Silakan pilih Jenis Kelamin Nasabah:,,,,,,,
PRIA,,,,,,,
atau,,,,,,,
WANITA,,,,,,,
CONFIDENTIAL,,,,,,,

Premi MiUltimate HealthCare 2024,,,,,,,
,,PRIA,,,,,
,Silakan pilih Usia Nasabah:,,,,,,
"0 ","1 ","2 ","3 ",4,,,
"5 ","6 ","7 ","8 ",9,,,
"10 ","11 ","12 ","13 ",14,,,
"15 ","16 ","17 ","18 ",19,,,
"20 ","21 ","22 ","23 ",24,,,
"25 ","26 ","27 ","28 ",29,,,
"30 ","31 ","32 ","33 ",34,,,
"35 ","36 ","37 ","38 ",39,,,
"40 ","41 ","42 ","43 ",44,,,
"45 ","46 ","47 ","48 ",49,,,
"50 ","51 ","52 ","53 ",54,,,
"55 ","56 ","57 ","58 ",59,,,
"60 ","61 ","62 ","63 ",64,,,
"65 ","66 ","67 ","68 ",69,,,
"70 ","71 ","72 ","73 ",74,,,
"75 ","76 ","77 ","78 ",79,,,
"80 ","81 ","82 ","83 ",84,,,
85,,,,,,,
,,,,Kembali ke,,,
,,,,Menu Utama,,,
,,CONFIDENTIAL,,,,,

Premi MiUltimate HealthCare 2024,,,,,,,
,,WANITA,,,,,
,Silakan pilih Usia Nasabah:,,,,,,
"0 ","1 ","2 ","3 ",4,,,
"5 ","6 ","7 ","8 ",9,,,
"10 ","11 ","12 ","13 ",14,,,
"15 ","16 ","17 ","18 ",19,,,
"20 ","21 ","22 ","23 ",24,,,
"25 ","26 ","27 ","28 ",29,,,
"30 ","31 ","32 ","33 ",34,,,
"35 ","36 ","37 ","38 ",39,,,
"40 ","41 ","42 ","43 ",44,,,
"45 ","46 ","47 ","48 ",49,,,
"50 ","51 ","52 ","53 ",54,,,
"55 ","56 ","57 ","58 ",59,,,
"60 ","61 ","62 ","63 ",64,,,
"65 ","66 ","67 ","68 ",69,,,
"70 ","71 ","72 ","73 ",74,,,
"75 ","76 ","77 ","78 ",79,,,
"80 ","81 ","82 ","83 ",84,,,
85,,,,,,,
,,,,KembaliKembali  keke,,,
,,,,Menu UtamaMenu Utama,,,
,,CONFIDENTIAL,,,,,

,Premi MiUltimate HealthCare 2024,,,,,,
,,,"PRIA, 0 TAHUN",,,,
,,,Manfaat Perawatan Rumah Sakit,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"42,551,900 ","28,974,500 ","16,316,400 ","11,996,000 ","9,344,800 ","9,227,700 ","7,268,400 ","5,684,200"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"25,531,100 ","17,384,700 ","9,789,800 ","7,197,600 ","5,536,600",,,
,,,Manfaat Rawat Jalan,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"12,026,200 ","12,026,200 ","10,817,400 ","10,817,400 ","10,817,400 ","10,817,400 ","10,817,400 ","10,817,400"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"12,026,200 ","12,026,200 ","10,817,400 ","10,817,400 ","10,817,400",,,
,,,Manfaat Perawatan Gigi,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900",,,
,,,,,,,Kembali ke
,,,,,,Menu Utama,
,,,,CONFIDENTIAL,,,

,Premi MiUltimate HealthCare 2024,,,,,,
,,"WANITA, 0 TAHUN",,,,,
,,,Manfaat Perawatan Rumah Sakit,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"41,166,700 ","28,880,300 ","16,645,900 ","12,022,600 ","9,328,200 ","9,248,100 ","7,426,200 ","5,696,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"24,700,000 ","17,328,200 ","9,987,500 ","7,213,600 ","5,548,900",,,
,,,Manfaat Rawat Jalan,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"12,514,500 ","12,514,500 ","11,256,300 ","11,256,300 ","11,256,300 ","11,256,300 ","11,256,300 ","11,256,300"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"12,514,500 ","12,514,500 ","11,256,300 ","11,256,300 ","11,256,300",,,
,,,Manfaat Perawatan Gigi,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900",,,
,,,,,,,Kembali ke
,,,,,,Menu Utama,
,,,,CONFIDENTIAL,,,

,Premi MiUltimate HealthCare 2024,,,,,,
,,,"PRIA, 1 TAHUN",,,,
,,,Manfaat Perawatan Rumah Sakit,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"41,746,100 ","28,196,100 ","15,564,000 ","11,080,200 ","8,631,300 ","8,523,200 ","6,713,500 ","5,250,300"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"25,047,700 ","16,917,700 ","9,338,400 ","6,648,100 ","5,113,900",,,
,,,Manfaat Rawat Jalan,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"12,026,200 ","12,026,200 ","10,817,400 ","10,817,400 ","10,817,400 ","10,817,400 ","10,817,400 ","10,817,400"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"12,026,200 ","12,026,200 ","10,817,400 ","10,817,400 ","10,817,400",,,
,,,Manfaat Perawatan Gigi,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900",,,
,,,,,,,Kembali ke
,,,,,,Menu Utama,
,,,,CONFIDENTIAL,,,

,Premi MiUltimate HealthCare 2024,,,,,,
,,"WANITA, 1 TAHUN",,,,,
,,,Manfaat Perawatan Rumah Sakit,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"40,797,200 ","28,519,200 ","16,285,100 ","11,583,500 ","8,987,600 ","8,910,400 ","7,154,900 ","5,488,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"24,478,300 ","17,111,500 ","9,771,100 ","6,950,100 ","5,346,200",,,
,,,Manfaat Rawat Jalan,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"12,514,500 ","12,514,500 ","11,256,300 ","11,256,300 ","11,256,300 ","11,256,300 ","11,256,300 ","11,256,300"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"12,514,500 ","12,514,500 ","11,256,300 ","11,256,300 ","11,256,300",,,
,,,Manfaat Perawatan Gigi,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900",,,
,,,,,,,Kembali ke
,,,,,,Menu Utama,
,,,,CONFIDENTIAL,,,

,Premi MiUltimate HealthCare 2024,,,,,,
,,,"PRIA, 2 TAHUN",,,,
,,,Manfaat Perawatan Rumah Sakit,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"41,731,400 ","28,181,500 ","15,550,300 ","11,063,500 ","8,618,300 ","8,510,400 ","6,703,400 ","5,242,400"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"25,038,800 ","16,908,900 ","9,330,200 ","6,638,100 ","5,106,200",,,
,,,Manfaat Rawat Jalan,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"8,837,300 ","8,837,300 ","7,949,500 ","7,949,500 ","7,949,500 ","7,949,500 ","7,949,500 ","7,949,500"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"8,837,300 ","8,837,300 ","7,949,500 ","7,949,500 ","7,949,500",,,
,,,Manfaat Perawatan Gigi,,,,
"Diamond ","Ruby ","Emerald ","Topaz ","Topaz ID ","Jade ","Jade ID ",Sapphire
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900 ","2,191,900"
Diamond,Ruby,Emerald,Topaz,Jade,,,
Smart,Smart,Smart,Smart,Smart,,,
"2,872,300 ","2,872,300 ","2,191,900 ","2,191,900 ","2,191,900",,,
,,,,,,,Kembali ke
,,,,,,Menu Utama,
,,,,CONFIDENTIAL,,,

