UP_Category,Plan,Currency,Profile,Age,Rate
Premium UP>=1M,PPP 20,IDR,Male Smoker,18,2.49
Premium UP>=1M,PPP 20,IDR,Male Smoker,19,2.53
Premium UP>=1M,PPP 20,IDR,Male Smoker,20,2.57
Premium UP>=1M,PPP 20,IDR,Male Smoker,21,2.63
Premium UP>=1M,PPP 20,IDR,Male Smoker,22,2.69
Premium UP>=1M,PPP 20,IDR,Male Smoker,23,2.78
Premium UP>=1M,PPP 20,IDR,Male Smoker,24,2.88
Premium UP>=1M,PPP 20,IDR,Male Smoker,25,2.99
Premium UP>=1M,PPP 20,IDR,Male Smoker,26,3.14
Premium UP>=1M,PPP 20,IDR,Male Smoker,27,3.3
Premium UP>=1M,PPP 20,IDR,Male Smoker,28,3.5
Premium UP>=1M,PPP 20,IDR,Male Smoker,29,3.72
Premium UP>=1M,PPP 20,IDR,Male Smoker,30,3.99
Premium UP>=1M,PPP 20,IDR,Male Smoker,31,4.28
Premium UP>=1M,PPP 20,IDR,Male Smoker,32,4.61
Premium UP>=1M,PPP 20,IDR,Male Smoker,33,4.98
Premium UP>=1M,PPP 20,IDR,Male Smoker,34,5.39
Premium UP>=1M,PPP 20,IDR,Male Smoker,35,5.84
Premium UP>=1M,PPP 20,IDR,Male Smoker,36,6.33
Premium UP>=1M,PPP 20,IDR,Male Smoker,37,6.88
Premium UP>=1M,PPP 20,IDR,Male Smoker,38,7.48
Premium UP>=1M,PPP 20,IDR,Male Smoker,39,8.13
Premium UP>=1M,PPP 20,IDR,Male Smoker,40,8.84
Premium UP>=1M,PPP 20,IDR,Male Smoker,41,9.6
Premium UP>=1M,PPP 20,IDR,Male Smoker,42,10.44
Premium UP>=1M,PPP 20,IDR,Male Smoker,43,11.35
Premium UP>=1M,PPP 20,IDR,Male Smoker,44,12.34
Premium UP>=1M,PPP 20,IDR,Male Smoker,45,13.43
Premium UP>=1M,PPP 20,IDR,Male Smoker,46,14.62
Premium UP>=1M,PPP 20,IDR,Male Smoker,47,15.93
Premium UP>=1M,PPP 20,IDR,Male Smoker,48,17.38
Premium UP>=1M,PPP 20,IDR,Male Smoker,49,18.96
Premium UP>=1M,PPP 20,IDR,Male Smoker,50,20.7
Premium UP>=1M,PPP 20,IDR,Male Smoker,51,22.03
Premium UP>=1M,PPP 20,IDR,Male Smoker,52,23.44
Premium UP>=1M,PPP 20,IDR,Male Smoker,53,24.93
Premium UP>=1M,PPP 20,IDR,Male Smoker,54,26.48
Premium UP>=1M,PPP 20,IDR,Male Smoker,55,28.09
Premium UP>=1M,PPP 20,IDR,Male Smoker,56,29.76
Premium UP>=1M,PPP 20,IDR,Male Smoker,57,31.5
Premium UP>=1M,PPP 20,IDR,Male Smoker,58,33.32
Premium UP>=1M,PPP 20,IDR,Male Smoker,59,35.23
Premium UP>=1M,PPP 20,IDR,Male Smoker,60,37.24
Premium UP>=1M,PPP 20,IDR,Male Smoker,61,39.35
Premium UP>=1M,PPP 20,IDR,Male Smoker,62,41.55
