gender,parent_age,child_age,key,array_index,premi
PRIA,18,0,ji,4,6.10
PRIA,18,0,ji,5,7.32
PRIA,18,0,ji,6,11.00
PRIA,18,0,ji,7,19.50
PRIA,18,0,ji,8,97.50
PRIA,18,0,ju,3,536
PRIA,18,0,ju,4,714
PRIA,18,0,ju,5,1071
PRIA,18,0,ju,6,1284
PRIA,18,0,ju,7,1605
PRIA,18,0,ju,8,2860
PRIA,18,0,ki,2,7.26
PRIA,18,0,ki,3,9.68
PRIA,18,0,ki,4,10.90
PRIA,18,0,ki,5,13.08
PRIA,18,0,ki,6,19.35
PRIA,18,0,ki,7,38.70
PRIA,18,0,ki,8,193.50
PRIA,18,0,ku,2,745
PRIA,18,0,ku,3,1080
PRIA,18,0,ku,4,1342
PRIA,18,0,ku,5,1920
PRIA,18,0,ku,6,2384
PRIA,18,0,ku,7,2980
PRIA,18,0,ku,8,5960
PRIA,18,1,ji,4,6.23
PRIA,18,1,ji,5,7.47
PRIA,18,1,ji,6,11.20
PRIA,18,1,ji,7,19.90
PRIA,18,1,ji,8,99.50
PRIA,18,1,ju,3,546
PRIA,18,1,ju,4,728
PRIA,18,1,ju,5,1080
PRIA,18,1,ju,6,1312
PRIA,18,1,ju,7,1640
PRIA,18,1,ju,8,2910
PRIA,18,1,ki,2,7.34
PRIA,18,1,ki,3,9.78
PRIA,18,1,ki,4,11.00
PRIA,18,1,ki,5,13.20
PRIA,18,1,ki,6,19.55
PRIA,18,1,ki,7,39.10
PRIA,18,1,ki,8,195.50
PRIA,18,1,ku,2,755
PRIA,18,1,ku,3,1080
PRIA,18,1,ku,4,1360
PRIA,18,1,ku,5,1920
PRIA,18,1,ku,6,2416
PRIA,18,1,ku,7,3020
PRIA,18,1,ku,8,6040
PRIA,18,10,ji,3,6.28
PRIA,18,10,ji,4,7.85
PRIA,18,10,ji,5,9.42
PRIA,18,10,ji,6,14.15
PRIA,18,10,ji,7,25.10
PRIA,18,10,ji,8,125.50
PRIA,18,10,ju,3,642
PRIA,18,10,ju,4,856
PRIA,18,10,ju,5,1155
PRIA,18,10,ju,6,1540
PRIA,18,10,ju,7,1920
PRIA,18,10,ju,8,3420
PRIA,18,10,ki,1,5.65
PRIA,18,10,ki,2,8.48
PRIA,18,10,ki,3,10.80
PRIA,18,10,ki,4,12.73
PRIA,18,10,ki,5,15.27
PRIA,18,10,ki,6,22.60
PRIA,18,10,ki,7,45.20
PRIA,18,10,ki,8,226.00
PRIA,18,10,ku,2,844
PRIA,18,10,ku,3,1140
PRIA,18,10,ku,4,1520
PRIA,18,10,ku,5,2025
PRIA,18,10,ku,6,2700
PRIA,18,10,ku,7,3375
PRIA,18,10,ku,8,6750
PRIA,18,11,ji,2,5.10
PRIA,18,11,ji,3,6.80
PRIA,18,11,ji,4,8.50
PRIA,18,11,ji,5,10.20
PRIA,18,11,ji,6,15.30
PRIA,18,11,ji,7,27.20
PRIA,18,11,ji,8,136.00
PRIA,18,11,ju,3,654
PRIA,18,11,ju,4,872
PRIA,18,11,ju,5,1176
PRIA,18,11,ju,6,1568
PRIA,18,11,ju,7,1920
PRIA,18,11,ju,8,3490
PRIA,18,11,ki,1,5.74
PRIA,18,11,ki,2,8.61
PRIA,18,11,ki,3,10.80
PRIA,18,11,ki,4,12.93
PRIA,18,11,ki,5,15.51
PRIA,18,11,ki,6,22.95
PRIA,18,11,ki,7,45.90
PRIA,18,11,ki,8,229.50
PRIA,18,11,ku,2,854
PRIA,18,11,ku,3,1154
PRIA,18,11,ku,4,1538
PRIA,18,11,ku,5,2049
PRIA,18,11,ku,6,2732
PRIA,18,11,ku,7,3415
PRIA,18,11,ku,8,6830
PRIA,18,2,ji,3,5.02
PRIA,18,2,ji,4,6.28
PRIA,18,2,ji,5,7.53
PRIA,18,2,ji,6,11.30
PRIA,18,2,ji,7,20.10
PRIA,18,2,ji,8,100.50
PRIA,18,2,ju,3,557
PRIA,18,2,ju,4,742
PRIA,18,2,ju,5,1080
PRIA,18,2,ju,6,1336
PRIA,18,2,ju,7,1670
PRIA,18,2,ju,8,2970
PRIA,18,2,ki,2,7.41
PRIA,18,2,ki,3,9.88
PRIA,18,2,ki,4,11.13
PRIA,18,2,ki,5,13.35
PRIA,18,2,ki,6,19.75
PRIA,18,2,ki,7,39.50
PRIA,18,2,ki,8,197.50
PRIA,18,2,ku,2,765
PRIA,18,2,ku,3,1080
PRIA,18,2,ku,4,1378
PRIA,18,2,ku,5,1920
PRIA,18,2,ku,6,2448
PRIA,18,2,ku,7,3060
PRIA,18,2,ku,8,6120
PRIA,18,3,ji,3,5.10
PRIA,18,3,ji,4,6.38
PRIA,18,3,ji,5,7.65
PRIA,18,3,ji,6,11.50
PRIA,18,3,ji,7,20.40
PRIA,18,3,ji,8,102.00
PRIA,18,3,ju,3,567
PRIA,18,3,ju,4,756
PRIA,18,3,ju,5,1080
PRIA,18,3,ju,6,1360
PRIA,18,3,ju,7,1700
PRIA,18,3,ju,8,3020
PRIA,18,3,ki,1,5.03
PRIA,18,3,ki,2,7.55
PRIA,18,3,ki,3,10.06
PRIA,18,3,ki,4,11.33
PRIA,18,3,ki,5,13.59
PRIA,18,3,ki,6,20.10
PRIA,18,3,ki,7,40.20
PRIA,18,3,ki,8,201.00
PRIA,18,3,ku,2,775
PRIA,18,3,ku,3,1080
PRIA,18,3,ku,4,1396
PRIA,18,3,ku,5,1920
PRIA,18,3,ku,6,2480
PRIA,18,3,ku,7,3100
PRIA,18,3,ku,8,6200
PRIA,18,4,ji,3,5.24
PRIA,18,4,ji,4,6.55
PRIA,18,4,ji,5,7.86
PRIA,18,4,ji,6,11.80
PRIA,18,4,ji,7,21.00
PRIA,18,4,ji,8,105.00
PRIA,18,4,ju,3,578
PRIA,18,4,ju,4,770
PRIA,18,4,ju,5,1080
PRIA,18,4,ju,6,1388
PRIA,18,4,ju,7,1735
PRIA,18,4,ju,8,3080
PRIA,18,4,ki,1,5.12
PRIA,18,4,ki,2,7.68
PRIA,18,4,ki,3,10.24
PRIA,18,4,ki,4,11.53
PRIA,18,4,ki,5,13.83
PRIA,18,4,ki,6,20.50
PRIA,18,4,ki,7,41.00
PRIA,18,4,ki,8,205.00
PRIA,18,4,ku,2,785
PRIA,18,4,ku,3,1080
PRIA,18,4,ku,4,1414
PRIA,18,4,ku,5,1920
PRIA,18,4,ku,6,2512
PRIA,18,4,ku,7,3140
PRIA,18,4,ku,8,6280
PRIA,18,5,ji,3,5.28
PRIA,18,5,ji,4,6.60
PRIA,18,5,ji,5,7.92
PRIA,18,5,ji,6,11.90
PRIA,18,5,ji,7,21.10
PRIA,18,5,ji,8,105.50
PRIA,18,5,ju,3,590
PRIA,18,5,ju,4,786
PRIA,18,5,ju,5,1080
PRIA,18,5,ju,6,1416
PRIA,18,5,ju,7,1770
PRIA,18,5,ju,8,3140
PRIA,18,5,ki,1,5.21
PRIA,18,5,ki,2,7.82
PRIA,18,5,ki,3,10.42
PRIA,18,5,ki,4,11.73
PRIA,18,5,ki,5,14.07
PRIA,18,5,ki,6,20.85
PRIA,18,5,ki,7,41.70
PRIA,18,5,ki,8,208.50
PRIA,18,5,ku,2,795
PRIA,18,5,ku,3,1080
PRIA,18,5,ku,4,1432
PRIA,18,5,ku,5,1920
PRIA,18,5,ku,6,2544
PRIA,18,5,ku,7,3180
PRIA,18,5,ku,8,6360
PRIA,18,6,ji,3,5.42
PRIA,18,6,ji,4,6.78
PRIA,18,6,ji,5,8.13
PRIA,18,6,ji,6,12.20
PRIA,18,6,ji,7,21.70
PRIA,18,6,ji,8,108.50
PRIA,18,6,ju,3,600
PRIA,18,6,ju,4,800
PRIA,18,6,ju,5,1080
PRIA,18,6,ju,6,1440
PRIA,18,6,ju,7,1800
PRIA,18,6,ju,8,3200
PRIA,18,6,ki,1,5.29
PRIA,18,6,ki,2,7.94
PRIA,18,6,ki,3,10.58
PRIA,18,6,ki,4,11.90
PRIA,18,6,ki,5,14.28
PRIA,18,6,ki,6,21.15
PRIA,18,6,ki,7,42.30
PRIA,18,6,ki,8,211.50
PRIA,18,6,ku,2,805
PRIA,18,6,ku,3,1088
PRIA,18,6,ku,4,1450
PRIA,18,6,ku,5,1932
PRIA,18,6,ku,6,2576
PRIA,18,6,ku,7,3220
PRIA,18,6,ku,8,6440
PRIA,18,7,ji,3,5.46
PRIA,18,7,ji,4,6.83
PRIA,18,7,ji,5,8.19
PRIA,18,7,ji,6,12.30
PRIA,18,7,ji,7,21.80
PRIA,18,7,ji,8,109.00
PRIA,18,7,ju,3,611
PRIA,18,7,ju,4,814
PRIA,18,7,ju,5,1098
PRIA,18,7,ju,6,1464
PRIA,18,7,ju,7,1830
PRIA,18,7,ju,8,3260
PRIA,18,7,ki,1,5.38
PRIA,18,7,ki,2,8.07
PRIA,18,7,ki,3,10.76
PRIA,18,7,ki,4,12.10
PRIA,18,7,ki,5,14.52
PRIA,18,7,ki,6,21.50
PRIA,18,7,ki,7,43.00
PRIA,18,7,ki,8,215.00
PRIA,18,7,ku,2,815
PRIA,18,7,ku,3,1101
PRIA,18,7,ku,4,1468
PRIA,18,7,ku,5,1956
PRIA,18,7,ku,6,2608
PRIA,18,7,ku,7,3260
PRIA,18,7,ku,8,6520
PRIA,18,8,ji,3,5.60
PRIA,18,8,ji,4,7.00
PRIA,18,8,ji,5,8.40
PRIA,18,8,ji,6,12.60
PRIA,18,8,ji,7,22.40
PRIA,18,8,ji,8,112.00
PRIA,18,8,ju,3,621
PRIA,18,8,ju,4,828
PRIA,18,8,ju,5,1119
PRIA,18,8,ju,6,1492
PRIA,18,8,ju,7,1865
PRIA,18,8,ju,8,3310
PRIA,18,8,ki,1,5.47
PRIA,18,8,ki,2,8.21
PRIA,18,8,ki,3,10.80
PRIA,18,8,ki,4,12.30
PRIA,18,8,ki,5,14.76
PRIA,18,8,ki,6,21.90
PRIA,18,8,ki,7,43.80
PRIA,18,8,ki,8,219.00
PRIA,18,8,ku,2,824
PRIA,18,8,ku,3,1113
PRIA,18,8,ku,4,1484
PRIA,18,8,ku,5,1977
PRIA,18,8,ku,6,2636
PRIA,18,8,ku,7,3295
PRIA,18,8,ku,8,6590
PRIA,18,9,ji,3,5.66
PRIA,18,9,ji,4,7.08
PRIA,18,9,ji,5,8.49
PRIA,18,9,ji,6,12.75
PRIA,18,9,ji,7,22.60
PRIA,18,9,ji,8,113.00
PRIA,18,9,ju,3,632
PRIA,18,9,ju,4,842
PRIA,18,9,ju,5,1137
PRIA,18,9,ju,6,1516
PRIA,18,9,ju,7,1895
PRIA,18,9,ju,8,3370
PRIA,18,9,ki,1,5.56
PRIA,18,9,ki,2,8.34
PRIA,18,9,ki,3,10.80
PRIA,18,9,ki,4,12.50
PRIA,18,9,ki,5,15.00
PRIA,18,9,ki,6,22.25
PRIA,18,9,ki,7,44.50
PRIA,18,9,ki,8,222.50
PRIA,18,9,ku,2,834
PRIA,18,9,ku,3,1127
PRIA,18,9,ku,4,1502
PRIA,18,9,ku,5,2001
PRIA,18,9,ku,6,2668
PRIA,18,9,ku,7,3335
PRIA,18,9,ku,8,6670
PRIA,19,0,ji,3,5.12
PRIA,19,0,ji,4,6.40
PRIA,19,0,ji,5,7.68
PRIA,19,0,ji,6,11.50
PRIA,19,0,ji,7,20.50
PRIA,19,0,ji,8,102.50
PRIA,19,0,ju,3,545
PRIA,19,0,ju,4,726
PRIA,19,0,ju,5,1080
PRIA,19,0,ju,6,1308
PRIA,19,0,ju,7,1635
PRIA,19,0,ju,8,2900
PRIA,19,0,ki,1,5.25
PRIA,19,0,ki,2,7.88
PRIA,19,0,ki,3,10.50
PRIA,19,0,ki,4,11.83
PRIA,19,0,ki,5,14.19
PRIA,19,0,ki,6,21.00
PRIA,19,0,ki,7,42.00
PRIA,19,0,ki,8,210.00
PRIA,19,0,ku,2,794
PRIA,19,0,ku,3,1080
PRIA,19,0,ku,4,1430
PRIA,19,0,ku,5,1920
PRIA,19,0,ku,6,2540
PRIA,19,0,ku,7,3175
PRIA,19,0,ku,8,6350
PRIA,19,1,ji,3,5.24
PRIA,19,1,ji,4,6.55
PRIA,19,1,ji,5,7.86
PRIA,19,1,ji,6,11.80
PRIA,19,1,ji,7,21.00
PRIA,19,1,ji,8,105.00
PRIA,19,1,ju,3,557
PRIA,19,1,ju,4,742
PRIA,19,1,ju,5,1080
PRIA,19,1,ju,6,1336
PRIA,19,1,ju,7,1670
